﻿Consumeable_SlgPersonal,Consumables,ของใช้
ItemName_dlc真·虚日鼠兽环,True Animal Ring - The Mouse,แหวนนักษัตรแท้ - ชวด
ItemName_dlc真·牛金牛兽环,True Animal Ring - The Ox,แหวนนักษัตรแท้ - ฉลู
ItemName_dlc真·尾火虎兽环,True Animal Ring - The Tiger,แหวนนักษัตรแท้ - ขาล
ItemName_dlc真·房日兔兽环,True Animal Ring - The Rabbit,แหวนนักษัตรแท้ - เถาะ
ItemName_dlc真·亢金龙兽环,True Animal Ring - The Dragon,แหวนนักษัตรแท้ - มะโรง
ItemName_dlc真·翼火蛇兽环,True Animal Ring - The Snake,แหวนนักษัตรแท้ - มะเส็ง
ItemName_dlc真·星日马兽环,True Animal Ring - The Horse,แหวนนักษัตรแท้ - มะเมีย
ItemName_dlc真·鬼金羊兽环,True Animal Ring - The Goat,แหวนนักษัตรแท้ - มะแม
ItemName_dlc真·觜火猴兽环,True Animal Ring - The Monkey,แหวนนักษัตรแท้ - วอก
ItemName_dlc真·昴日鸡兽环,True Animal Ring - The Rooster,แหวนนักษัตรแท้ - ระกา
ItemName_dlc真·娄金狗兽环,True Animal Ring - The Dog,แหวนนักษัตรแท้ - จอ
ItemName_dlc真·室火猪兽环,True Animal Ring - The Pig,แหวนนักษัตรแท้ - กุน
ItemInfo_dlc粗布裹手,"Just a cloth strip wrapped around the hand, even street thugs do this when they fight.",แค่ผ้าพันรอบมือ แม้แต่อันธพาลข้างถนนก็ยังทำแบบนี้เวลาทะเลาะกัน
ItemInfo_dlc木剑,A rough short sword made from a branch.,กระบี่สั้นหยาบๆ ที่ทำจากกิ่งไม้
ItemInfo_dlc大砍刀,"A common Big blade, ordinary households use it to chop wood for Lumbering.",มีดพร้าธรรมดาๆ เล่มหนึ่ง ที่คนทั่วไปใช้สำหรับตัดไม้ทำฟืน
ItemInfo_dlc震山拳套,"Can exert tremendous power, the effect is even better for those with deep MP.",สามารถปลดปล่อยพลังมหาศาล หากผู้ใช้มีพลังภายในล้ำลึก ผลลัพธ์จะยิ่งทรงพลังขึ้น
ItemInfo_dlc铁虎爪,"Hand claws made of cold iron, sharp tips, like a tiger's bite.",กรงเล็บมือทำจากเหล็กเย็น กรงเล็บแหลมคมดุจเขี้ยวเสือ
ItemInfo_dlc奔雷铁手,"Taking the power of heavenly thunder, it strikes like a wind and thunder, determining heaven and earth with one hit.",ด้วยพลังแห่งสายฟ้าจากสวรรค์ มันพุ่งโจมตีรวดเร็วดุจพายุพัดฟ้าฟาด กำหนดชะตาฟ้าดิน ได้ด้วยการโจมตีเพียงครั้งเดียว 
ItemInfo_dlc昆仑,"The towering Kunlun, defining the four directions.",คุนหลุนที่ตั้งสูงตระหง่าน กำหนดทิศทางทั้งสี่
ItemInfo_dlc降龙,"Dragon Slayer subdues the tiger, as easy as flipping a hand.",พิฆาตมังกรปราบพยัคฆ์ได้ง่ายเหมือนกับการพลิกมือ
ItemInfo_dlc乾坤,"Silver, Purple Jade, Red Agate, Heaven and Earth overturn to reveal the underworld.",เงิน หยกม่วง โมราแดง เมื่อรวมกันแล้วสามารถเห็นสิ่งลึกลับใต้พิภพ
ItemInfo_dlc红缨枪,A brand new sharp Red spear.,หอกที่ประดับด้วยขนนกสีแดง เล่มใหม่เอี่ยมและคม
ItemInfo_dlc竹竿,"A hollow Bamboo stick made of bamboo, thin and long.",ไม้ไผ่กลวง ทำจากไม้ไผ่ บางและยาว
ItemInfo_dlc折扇,"A plain paper Folding fan, with silver powder on it, the fan surface emits silver light, shining brightly.",พัดพับจากกระดาษเรียบธรรมดา มีผงเงินอยู่บนพัด ผืนพัดระยิบระยับเป็นสีเงิน เปล่งประกายสวยงาม
ItemInfo_dlc青罡剑,"Made by condensing energy, the temperament is flowing, elegant yet firm.",สร้างขึ้นจากการรวบรวมพลัง มีพลังที่หมุนเวียน แฝงความสง่างามแต่มั่นคง
ItemInfo_dlc倚天剑,"The sword is wide and the guard is flamboyant, with a hint of imperial aura.","ตัวดาบกว้างใหญ่, ด้ามดาบเด่นชัด, แฝงไว้ด้วยอำนาจดั่งจักรพรรดิ"
ItemInfo_dlc青冥剑,"The waistband is silver-plated, clean and bright. It is said to be an ancient weapon.", ด้ามจับหุ้มด้วยเงิน สะอาด เรียบง่าย และเปล่งประกาย เชื่อกันว่าเป็นอาวุธโบราณ
ItemInfo_dlc干将,"An ancient sword passed down from ancient times, made from the iron essence of five mountains and the golden hero of the six realms. After thousands of years, it is still exceptionally sharp.",กระบี่เลื่องชื่อสืบทอดมาแต่โบราณกาล สร้างจากแร่เหล็กชั้นดีจากห้าภูเขา และทองคำบริสุทธิ์จากหกทิศ แม้ผ่านกาลเวลามานับพันปี แต่ยังคงคมกริบอย่างยิ่ง
ItemInfo_dlc含光,"Gold and iron are nourished, thus forming a sword. The cold light is chilling, and the Power is infinite.",เมื่อทองคำและเหล็กกล้าหลอมรวมกัน จึงกลายเป็นกระบี่ แผ่แสงประกายเย็นยะเยือก มีพลังอำนาจมหาศาล
ItemInfo_dlc鱼肠,"A very small sword, which can be hidden in a fish, the sword edge is sharp, extremely tough, shining brightly.",กระบี่เล่มเล็กจิ๋ว สามารถซ่อนในตัวปลาได้ กระบี่คม ทนทานอย่างยิ่ง ส่องประกายระยิบระยับ
ItemInfo_dlc匕首,"A slender double-edged Short sword, easy to carry, can be hidden in sleeves or boots.",มีดสั้นสองคม เรียวบาง พกพาสะดวก สามารถซ่อนไว้ในแขนเสื้อหรือรองเท้าก็ได้
ItemInfo_dlc狼毫笔,"A very common brush, the brush is strong and suitable for both writing and painting.","เป็นพู่กันที่พบเห็นได้ทั่วไป, มีพลังในการเขียนที่หนักแน่น, เหมาะสำหรับการเขียนและวาดภาพ"
ItemInfo_dlc梧桐琴,A wutong wood zither symbolizing noble character.,กู่ฉินไม้อู๋ถงเป็นสัญลักษณ์ของความสูงส่ง
ItemInfo_dlc碎宇刀,"Rumored to be a sharp blade that can cut through space, its edge is extremely sharp, and it can pass through with a blow.",กล่าวกันว่าคมดาบสามารถตัดผ่านมิติได้ มีความคมอย่างยิ่ง เพียงพาดผ่านก็สามารถผ่าเส้นผมขาดได้
ItemInfo_dlc绣春刀,"The knife body is slightly smaller than the general waist knife, but it has a curvature, which is convenient for chopping.",ตัวดาบมีขนาดเล็กกว่าดาบคาดเอวทั่วไปเล็กน้อย แต่มีส่วนโค้ง ทำให้เหมาะแก่การสับ
ItemInfo_dlc修罗刀,"It was cast with the fresh blood of a hundred people, and countless resentful souls are attached to it, and the evil spirit is extremely heavy."," ดาบเล่มนี้ถูกหลอมจากเลือดของผู้คนนับร้อย, มีวิญญาณอาฆาตจำนวนมากสิงอยู่, เต็มไปด้วยพลังอำมหิตอย่างยิ่ง"
ItemInfo_dlc大夏龙雀,"It is said to be a giant blade cast by ancient gods, with dragon and snake patterns, exquisitely made, and extremely sharp.",กล่าวกันว่าเป็นดาบยักษ์ที่เทพเจ้าโบราณสร้างขึ้น มีลวดลายเป็นมังกรและงู สร้างอย่างประณีต และมีความคมอย่างมาก
ItemInfo_dlc犬神刀,"A curved blade from the Great Ant City, capable of catching enemies off guard.",ดาบของเมืองผีฝู คมดาบโค้งงอ สามารถโจมตีศัตรูโดยไม่ทันตั้งตัว
ItemInfo_dlc龙牙刀,"The treasured blade passed down from generation to generation by the lord of the Great Ant City, it is also a symbol of the lord's status.",ดาบอันล้ำค่าที่สืบทอดจากรุ่นสู่รุ่นของเจ้าเมืองผีฝู มันยังเป็นสัญลักษณ์ของสถานะเจ้าเมืองอีกด้วย
ItemInfo_dlc木箫,A folk instrument made of purple bamboo.,เครื่องดนตรีพื้นบ้านที่ทำจากไม้ไผ่สีม่วง
ItemInfo_dlc花梨琵琶,A lute made of rosewood.,ผีผาสี่สาย คอตรง ทำจากไม้ชิงชัน
ItemInfo_dlc窄袖衣,"Clothes commonly worn by ordinary people, thin and lightweight.",เสื้อผ้าที่คนทั่วไปสวมใส่ บางเบา สบายตัว
ItemInfo_dlc梨花枪,"The spear used by General Yang during his lifetime, engraved with eight fearless small characters ""Drive out the barbarians and restore the mountains and rivers"".","หอกที่ท่านแม่ทัพหยางใช้ก่อนเสียชีวิต ด้านบนสลักตัวอักษรแปดตัว ที่แสดงถึงปณิธานอันแรงกล้า ""ขับไล่คนเถื่อน ฟื้นฟูแผ่นดิน"" "
ItemInfo_dlc霸王枪,"Made of pure steel, weighing ninety-nine and eighty-one catties, it is said to be the weapon used by the King of Western Chu, not everyone can wield it.",สร้างขึ้นด้วยเหล็กบริสุทธิ์ หนักเก้าสิบเก้า และแปดสิบเอ็ดชั่ง ตำนานกล่าวว่าเป็นอาวุธของฮ่องเต้รัฐฉู่ ไม่ใช่สิ่งที่คนธรรมดาจะใช้ได้
ItemInfo_dlc亮银枪,A shiny long spear that has been well maintained.,หอกยาวที่ถูกขัดจนเป็นประกาย แสดงให้เห็นว่ามีคนดูแลรักษามันอย่างพิถีพิถันมาโดยตลอด
ItemInfo_dlc句芒,"At the beginning of spring, the spear's aura is a hundred miles long, hence it is named after the god of spring in mythology.",เมื่อเริ่มฤดูใบไม้ผลิ พลังของหอกแผ่กระจายออกไปไกลถึงร้อยลี้ จึงตั้งชื่อตามเทพเจ้าแห่งฤดูใบไม้ผลิในตำนาน
ItemInfo_dlc方天画戟,"It is said to be a weapon used by the ancient war god, shaped like a square sky painting halberd, it can stab and chop, flexible and changeable.",กล่าวกันว่า เป็นอาวุธของเทพสงครามยุคโบราณ ทรงสี่เหลี่ยมเหมือนขวานและหอก สามารถแทงหรือฟันได้ พลิกแพลงได้หลากหลาย
ItemInfo_dlc龙胆,"A long spear that was once used by a brave general, still sharp after hundreds of years.",ตามตำนานเคยเป็นหอกยาวที่ใช้โดยแม่ทัพผู้กล้าหาญ ผ่านไปหลายร้อยปียังคงคมและแข็งแกร่งไม่เสื่อมสลาย
ItemInfo_dlc绢麻衣,"Clothes made of silk and hemp, slightly more comfortable than Cloth.",เสื้อผ้าที่ทำจากผ้าไหมและป่าน สะดวกสบายกว่าผ้าหยาบๆ เล็กน้อย
ItemInfo_dlc护心铠,"Armor made of iron plates, providing some protection.",เกราะที่ทำจากแผ่นเหล็ก มีความสามารถในการป้องกันได้ในระดับหนึ่ง
ItemInfo_dlc彩绣香囊,A beautiful sachet made of colored silk threads.,ถุงหอมที่ทำจากไหมหลากสี สวยงามประณีต
ItemInfo_dlc盘龙棍,"The stick body has dragon scale carvings, the dragon head and dragon tail at both ends are of different lengths, with great power.",ตัวด้ามไม้แกะสลักเป็นเกล็ดมังกร ปลายทั้งสองข้างเป็นหัวและหางมังกร ยาวไม่เท่ากัน มีพลังมหาศาล
ItemInfo_dlc齐天棍,"The whole body is golden, with red patterns engraved on it. No one can match its maximum power.",ตัวไม้พลองเป็นสีทองทั้งแท่ง มีลวดลายสีแดงแกะสลักไว้ พลังสูงสุดไร้ผู้ต้าน
ItemInfo_dlc金箍铁棒,"An iron rod decorated with gold hoops at both ends, with the words ""Ruyi Jingu Bang, weighing 13,500 jin"" crookedly engraved on it. However, it's not that heavy, and it's not recommended to try to stick it in your ear.","กระบองโลหะที่ตกแต่งด้วยห่วงทองคำที่ปลายทั้งสองข้าง สลักคำว่า ""กระบองสารพัดนึก ยู่อี่ หนัก 13,500 ชั่ง"" ไว้อย่างคดเคี้ยว อย่างไรก็ตามมันไม่ได้หนักขนาดนั้น และไม่แนะนำให้ลองยัดเข้าไปในหูด้วยเช่นกัน"
ItemInfo_dlc烛阴,"The weapon is engraved with a coiling dragon, and it changes unpredictably when swung.",อาวุธที่สลักไปด้วยลวดลายมังกรขนด เมื่อแกว่งจะเกิดการเปลี่ยนแปลงนับพัน
ItemInfo_dlc定海神针,"An extremely heavy club, solid in texture, seems to be cast from uncommon materials. But it's neither thirteen thousand five hundred catties heavy, nor can it be shrunk and put into the ear.",กระบองที่หนักมาก ทำจากวัสดุที่แข็งแกร่ง ดูเหมือนจะไม่ใช่วัสดุทั่วไปที่พบได้ง่าย แต่ก็ไม่ได้หนักถึงหมื่นสามพันห้าร้อยชั่ง และไม่สามารถย่อให้เล็กจนใส่เข้าไปในหูได้
ItemInfo_dlc镇岳,"The weapon held by Tang Tai Jun, also a symbol of his identity. It's very heavy, and it's hard to imagine how Tang Tai Jun used it.",อาวุธที่ถือครองโดยถังไท่จุน ถือเป็นสัญลักษณ์แทนตัวตนของนางเช่นกัน มันหนักมาก แค่แกว่งก็ใช้แรงมหาศาล ยากจะจินตนาการว่า ถังไท่จุนใช้มันได้อย่างไร
ItemInfo_dlc粗糙的护身符,"Hand-sewn, rough cotton amulet.",เครื่องรางผ้าฝ้ายเนื้อหยาบเย็บมือ
ItemInfo_dlc香包,"Hand-sewn, rough red cloth sachet.",ถุงหอมผ้าสีแดงที่เย็บด้วยมืออย่างหยาบ
ItemInfo_dlc花环,"Wreath woven from wild flowers, most pleasing to little girls.",มงกุฎที่ถักจากดอกไม้ป่าเล็กๆ มักเป็นที่ชื่นชอบของเด็กสาว
ItemInfo_dlc西江月,"Black metal for the edge, hardwood for the bone, machinery is ingenious.",โลหะสีดำสำหรับขอบ ไม้เนื้อแข็งสำหรับกระดูกโครง สร้างโดยวางกลไกอย่างชาญฉลาด
ItemInfo_dlc满江红扇,"Made from blood-stained red silk and woven with golden needles, the fan bone is wrapped in silver thread.",ทำจากผ้าไหมสีแดงเปื้อนเลือด เย็บไว้ด้วยเข็มทอง โครงกระดูกพัดพันด้วยด้ายสีเงิน
ItemInfo_dlc破阵子,"A fan made from Lengjin paper and Steel, it has a certain amount of Attack power.",พัดที่ทำจากกระดาษดิ้นทองและเหล็กกล้า แฝงพลังโจมตีบางอย่างไว้
ItemInfo_dlc祝融,"The fan bone needs to be forged in a big fire for forty-nine days to be cast. When fanning, there is a burst of heat, hence the name Zhurong.",กระดูกพัดจะต้องถูกหลอมด้วยไฟกองใหญ่ เป็นเวลาสี่สิบเก้าวันจึงจะหล่อได้ เมื่อพัดจะปล่อยลมร้อนออกมา จึงได้ชื่อว่าจู้หรง
ItemInfo_dlc夸父,"A Folding fan named after the ancient sun-chasing god, a light wave can stir up a wind that obscures the sky.",พัดที่ตั้งชื่อตามเทพเจ้าผู้ไล่ตามดวงอาทิตย์ในสมัยโบราณ เพียงแค่โบกเบาๆ ก็สามารถก่อให้เกิดลมพายุที่บดบังท้องฟ้าได้
ItemInfo_dlc青丘,"An otherworldly Folding fan, when fanned, purple smoke drifts, making people lose their minds and souls.",พัดพับที่ดูเหมือนจะมาจากต่างแดน เมื่อโบกพัดจะมีควันสีม่วงลอยออกมา ทำให้ผู้คนตกอยู่ในภวังค์และสูญเสียจิตใจ
ItemInfo_dlc艾草束,"Plants with a strong fragrance, effective in warding off evil.",พืชที่มีกลิ่นหอมรุนแรง มีฤทธิ์ในการปัดเป่าสิ่งชั่วร้าย
ItemInfo_dlc铁手,"Made of pure iron, black and extremely hard.",ทำจากเหล็กบริสุทธิ์ ทั้งตัวสีดำสนิท และแข็งอย่างยิ่ง
ItemInfo_dlc缠丝拳套,"Made of silk, has a certain protective performance.",ทำจากผ้าไหมหลายชั้น มีคุณสมบัติในการป้องกันได้ในระดับหนึ่ง
ItemInfo_dlc飞来梭,"This weapon moves quickly in a moment, its speed can be described as shadow following shape.",อาวุธนี้ออกท่ารวดเร็วในพริบตา ความเร็วเปรียบดั่งเงาตามตัว
ItemInfo_dlc流云锥,"A dagger made of solid cold iron, has a certain weight, the user needs to have a lot of wrist strength.",กริชที่ทำจากเหล็กเย็นตัน มีน้ำหนักพอสมควร ผู้ใช้ต้องมีกำลังข้อมือที่แข็งแรง
ItemInfo_dlc织女梭,"A Machinery shuttle made of Cold iron, the Machinery is exquisite, easy to use.",กระสวยเครื่องทอทำจากเหล็กเย็น มีความประณีต ใช้งานง่าย
ItemInfo_dlc嘲风,"Named after the third son of the dragon, made of black iron, extremely small in size, the user needs to seek victory in danger.",ตั้งชื่อตามบุตรชายคนที่สามของมังกร ทำจากเหล็กนิล ขนาดเล็กมาก ผู้ใช้จำเป็นต้องแสวงหาชัยชนะท่ามกลางอันตราย
ItemInfo_dlc精卫,"A magical Dagger hidden in the snow mountain, with a Millipede gold handle and a jade blade, it feels icy to the touch, and can freeze water on contact.",กริชวิเศษที่ซ่อนอยู่ในภูเขาหิมะ ด้ามจับทำจากทองคำพันตัว ใบมีดทำจากหยกเขียว เมื่อสัมผัสจะรู้สึกเย็นจนถึงกระดูก และสามารถทำให้น้ำกลายเป็นน้ำแข็งได้
ItemInfo_dlc睚眦,"Named after the second son of the dragon, made of Meteorite, it hides a fierce aura.",ตั้งชื่อตามบุตรคนรองของราชามังกร หลอมจากหินดาวตก มันแอบซ่อนเร้นความโหดเหี้ยมเอาไว้
ItemInfo_dlc白虹剑,"The sword hilt is carved from black jade, the blade is double-edged, thin as cicada wings, sharp as autumn water.",ด้ามกระบี่แกะสลักจากหยกดำ คมกระบี่มีสองคม บางราวกับปีกจั๊กจั่น คมดุจน้ำในฤดูใบไม้ร่วง
ItemInfo_dlc紫电剑,"This sword has a purple glow like electricity, dazzling brilliance, precious fog rising, and cold air invading people.",กระบี่เปล่งแสงสีม่วงราวกับสายฟ้า ประกายเจิดจ้า มีไอระเหยลอยฟุ้ง และแผ่ความเย็นยะเยือกสู่ผู้คน
ItemInfo_dlc砍山刀,"A big knife favored by rural bandits, it is heavy to cast but has a lot of Power when swung.",เป็นดาบใหญ่ที่โจรป่าชอบใช้ มีน้ำหนักมากเกินที่จะร่ายรำ แต่เมื่อเหวี่ยงแล้วจะมีพลังอย่างมาก
ItemInfo_dlc鸡距,"A short-tipped brush made of Cockspur, used to steal the Animal ring door.",พู่กันขนสั้นทำจากเดือยไก่ตัวผู้ เหมือนจะใช้ขโมยประตูวงแหวนนักษัตรได้
ItemInfo_dlc龙须,"The Dragon Whisker brush is soft and good at painting, like a dragon flying through the clouds.",พู่กันหนวดมังกร มีความนุ่มนวล เหมาะกับการวาดภาพ เหมือนมังกรบินผ่านเมฆาบนท้องฟ้า
ItemInfo_dlc麟角,"The Unicorn Horn brush is strong and good at bold calligraphy, like a unicorn stepping on ruins.",พู่กันเขากิเลน มีความแข็งแรง เหมาะกับการเขียนตัวหนังสือที่หนักแน่น เหมือนกิเลนกำลังเหยียบย่ำซากปรักหักพัง
ItemInfo_dlc太虚,"The characters written with it are like flowing clouds and water. When combined with special ink, they disappear in light and reappear in fire.",ตัวอักษรที่เขียนออกมาเหมือนเมฆลอยและน้ำไหล เมื่อใช้กับหมึกพิเศษ เมื่อเจอแสงจะหายไป แต่เมื่อเจอไฟจะปรากฏขึ้นอีกครั้ง
ItemInfo_dlc玄黄,"Mysterious Yellow, the essence of heaven and earth. All products drawn are of the highest quality.",“เหลืองและดำ” คือสัญลักษณ์ของฟ้าและดิน ภาพที่วาดด้วยสีทั้งสองนี้ล้วนเป็นงานชั้นยอด
ItemInfo_dlc洪荒,"Whether it's writing or painting, it always has the Origin momentum. The calligraphy is like iron and silver, and the painting is lifelike.",ไม่ว่าจะเขียนตัวอักษรหรือวาดภาพ เมื่อเริ่มต้นก็จะมีลักษณะคล้ายกับความสับสนวุ่นวาย แต่เมื่อเขียนไปแล้ว ตัวหนังสือก็จะคมชัดเหมือนเหล็กและเงิน ส่วนภาพวาดก็จะสื่อถึงจิตวิญญาณของสิ่งที่วาด
ItemInfo_dlc九环刀,"There are nine iron rings on the back of the knife, which will make a sound during battle, disturbing people's minds.",ที่สันดาบมีวงแหวนเหล็กเก้าวง เมื่อต่อสู้จะสร้างเสียงดัง รบกวนจิตใจศัตรู
ItemInfo_dlc蛇矛枪,"The spearhead is like a coiled snake, the spear tip is sharp, and the penetration power is extremely strong.",หัวหอกเหมือนงูขดตัวพันกันเป็นเกลียว ปลายหอกแหลมคม ทะลุทะลวงได้ดี
ItemInfo_dlc混铁枪,"The upper end of the spear shaft has a bull horn hook, which can cause double critical damage to the target.",ที่ปลายหอกมีรูปทรงตะขอคล้ายเขากระทิง สามารถสร้างความเสียหายรุนแรงเป็นสองเท่าให้กับเป้าหมาย
ItemInfo_dlc春雷,"A famous ancient zither from the previous dynasty, a masterpiece crafted by the zither maker Lei Gong, originally collected by Emperor Zhao, but its whereabouts are unknown after Emperor Zhao was captured.",กู่ฉินโบราณที่มีชื่อเสียงจากราชวงศ์ก่อน เป็นผลงานชิ้นเอกที่สร้างสรรค์โดยช่างทำกู่ฉิน ลุ่ยกง ซึ่งเดิมเก็บรวบรวมโดยจักรพรรดิจ้าว แต่ไม่ทราบที่อยู่ของมันหลังจากที่จักรพรรดิจ้าวถูกจับ
ItemInfo_dlc焦尾,"It is said to be created by Cai Yong, the father of the talented woman Cai Wenji, made from a piece of burnt phoenix tree wood, hence the name ""Scorched Tail"". Extremely precious, with a high value.","กล่าวกันว่าสร้างขึ้นโดยไช่ยง บิดาของไช่เหยี่ยนหญิงสาวผู้มีพรสวรรค์ ทำจากไม้หงส์ที่ถูกเผาจนได้ชื่อว่า ""หางไหม้"" ล้ำค่าอย่างยิ่ง"
ItemInfo_dlc绿绮,"It is said to be the beloved zither of Sima Xiangru from the Han Dynasty, the whole body is black, faintly showing a dark green color, like green vines wrapped around an ancient tree, hence the name.",กล่าวกันว่าเป็นกู่ฉินคู่ใจของซือหม่าเซียงหรู แห่งราชวงศ์ฮั่น ตัวพิณเป็นสีดำ แฝงด้วยสีเขียวมรกตเล็กน้อย เหมือนกับเถาวัลย์สีเขียวพันรอบต้นไม้โบราณ จึงเป็นที่มาของชื่อ
ItemInfo_dlc绕梁,"Its sound is lingering, revolving around the beams, endless, hence the name.",เสียงของกู่ฉินก้องกังวาน พาดผ่านไปทั่วคานบ้าน สะท้อนไปมาอย่างไม่สิ้นสุด จึงเป็นที่มาของชื่อนี้
ItemInfo_dlc号钟,"An ancient famous zither, the sound of the zither is so loud, like the sound of a bell ringing, the sound of a horn blowing, it is deafening.",กู่ฉินชื่อดังในยุคโบราณ เสียงกู่ฉินทรงพลังดุจเสียงระฆัง เสียงแตรเป่า ทำให้ผู้ฟังหูอื้อ
ItemInfo_dlc囚牛,"A seven-stringed zither named after the eldest son of the dragon, it is said that because of its beautiful tone, it attracted the dragon's son to possess it.",กู่ฉินเจ็ดสายที่ตั้งชื่อตามบุตรชายคนโตของมังกร เล่าขานกันว่า ด้วยเสียงอันไพเราะกังวาน จึงดึงดูดบุตรชายมังกรให้ยอมสิงสถิตย์อยู่ภายใน
ItemInfo_dlc镔铁杖,"A solid iron stick, sinking in two buckets of water.",ท่อนเหล็กตัน หนักเท่ากับถังน้ำสองถัง
ItemInfo_dlc齐眉棍,"Made according to body weight, equal to the eyebrows, the stick body has a certain toughness.",สร้างขึ้นให้มีน้ำหนักในการแกว่ง เมื่อยกขึ้นมีความสูงเท่ากับคิ้ว ตัวพลองมีความทนทานระดับนึง
ItemInfo_dlc雕翎扇,"A fan made of green Bird feathers, the color is like jade, and the touch is soft.",พัดขนนกที่ทำจากขนนกสีเขียว มีสีคล้ายหยก ให้สัมผัสที่นุ่มนวล
ItemInfo_dlc枉凝眉,"The flute body is made of black metal, with a gold tassel tied at the end as decoration.",ตัวขลุ่ยทำจากโลหะสีดำ โดยมีพู่สีทองผูกที่ปลายเป็นของตกแต่ง
ItemInfo_dlc关山月,"The flute body is made of cold iron, with a white jade orchid tied at the end as decoration.",ตัวขลุ่ยทำจากเหล็กเย็น โดยมีดอกกล้วยไม้หยกสีขาวผูกไว้ที่ปลายเป็นของตกแต่ง
ItemInfo_dlc冷沧浪,"The flute body is made of steel, with a Hetian bead tied at the end as decoration.",ตัวขลุ่ยทำจากเหล็กกล้า โดยมีลูกปัดเหอเถียนผูกไว้ที่ปลายเป็นของตกแต่ง
ItemInfo_dlc有凤来仪,"The flute body is made of thousand-year-old black iron, the whole body is orange and shiny, with a millipede gold tied at the end as decoration.",ตัวของขลุ่ยทำจากเหล็กนิลพันปี ทั้งตัวมีสีส้มเหลืองเป็นประกาย และที่ปลายขลุ่ยประดับด้วยทองคำพันตัว
ItemInfo_dlc碧海潮声,"The flute body is made of refined gold, with a pink tassel tied at the end as decoration.",ตัวขลุ่ยทำจากทองคำบริสุทธิ์ โดยมีพู่สีชมพูผูกที่ปลายเป็นของตกแต่ง
ItemInfo_dlc笑傲江湖,"The flute body is made of meteorite, with a top-grade jade bead tied at the end as decoration.",ตัวขลุ่ยทำจากหินดาวตก ที่ปลายประดับด้วยลูกปัดหยกชั้นดีผูกเอาไว้
ItemInfo_dlc留香扇,"A high-quality satin fan, with a fragrant scent.",พัดทำจากผ้าแพรคุณภาพสูง มีกลิ่นหอมอ่อนๆ
ItemInfo_dlc狼牙匕,"A sharp Dagger, like a Wolf fang, can be used for self-defense.",มีดสั้นที่แหลมคม เหมือนเขี้ยวหมาป่า สามารถใช้ป้องกันตัวได้
ItemInfo_dlc三棱锥,"A short cone with three edges, a stab will cause continuous bleeding.",กริชสั้นมีที่มีคมแหลมสามง่าม เมื่อแทงจะทำให้เลือดไหลไม่หยุด
ItemInfo_dlc双凤琵琶,"The body is painted with a symmetrical double phoenix pattern, with five silk strings on top, exquisitely crafted.",ตัวผีผาวาดลวดลายหงส์คู่ไว้อย่างสมมาตร สายทั้งห้าทำจากเส้นไหม ประดิษฐ์ขึ้นอย่างประณีต
ItemInfo_dlc绕殿雷,"The tone is like a high-pitched shout, the sound is like thunder, hence the name.",ให้เสียงโทนสูง เสียงดังก้องเหมือนเสียงร้องเรียกบนเขาสูง ดังกึกก้องเหมือนฟ้าร้อง จึงได้ชื่อนี้มา
ItemInfo_dlc烧槽,"The whole body is white and purple gradient, the end is inlaid with various jewels, very precious.",ทั้งตัวเป็นสีขาวไล่โทนไปม่วง ตกแต่งปลายด้วยอัญมณีหลากหลาย ล้ำค่าอย่างยิ่ง
ItemInfo_dlc玄象,"The image formed by the sun, moon, stars, and constellations in the sky is called ""Mysterious Elephant"".",รูปแบบดวงอาทิตย์ ดวงจันทร์ และดวงดาวที่เรียงรายบนท้องฟ้า เรียกว่า “ทางช้างเผือก”
ItemInfo_dlc青山,Made of green jade with sheep intestine as strings. There are hollowed-out gold ornaments as decorations.,ตัวเครื่องทำจากหยกสีเขียว สายทำจากไส้แกะ ตกแต่งด้วยการแกะสลักลวดลายทองคำ
ItemInfo_dlc狮子丸,The ancient and precious Lute that has disappeared in the rivers and lakes. It is said to be lost in the vast sea.,ผีผาโบราณอันล้ำค่าที่สูญหายไปจากยุทธภพ ว่ากันว่าสูญหายไปในทะเลอันกว้างใหญ่
ItemInfo_dlc圆锋,"An ancient willow pen holder, with a green glass pendant hanging on it, looks very elegant.",ด้ามพู่กันทำจากไม้หลิวโบราณ มีจี้แก้วสีเขียวห้อยอยู่ ดูหรูหรามาก
ItemInfo_dlc昌化,"The brush tip is round, the white jade pen holder, with a blue Gem pendant hanging on it.",ปลายพู่กันมีลักษณะกลมมน ด้ามพู่กันทำจากหยกขาว มีจี้อัญมณีสีน้ำเงินห้อยอยู่
ItemInfo_dlc七弦,A Seven Strings ancient zither that is seven feet and two inches long.,กู่ฉินโบราณเจ็ดสาย ยาว 7 ฟุต 2 นิ้ว
ItemInfo_dlc独幽,"A musical instrument imitating the shape of an ancient piano from the previous dynasty, reaching the level of being indistinguishable from the real thing, even the cursive ""Loneliness"" carved in the middle of the back shoulder is reproduced.","กู่ฉินที่สร้างเลียนแบบกู่ฉินโบราณจากราชวงศ์ก่อน เลียนได้เหมือนของจริงจนแยกไม่ออก แม้แต่ตัวอักษร ""เดียวดาย"" ที่สลักด้วยลายพู่กันตรงด้านหลังก็ถูกทำขึ้นใหม่"
