﻿TraitInlo_Kungfu,Initial external power {0},พลังงานภายนอกเริ่มต้น {0}
TraitName_伙伴特征道玄宗主,Taoist sect leader,เจ้าสำนักเต๋า
TraitName_伙伴特征九转回魂,Reversal technique,ชีวิตคืนกลับ
TraitName_伙伴特征真气护体,Reflective Qi,ปราณสะท้อน
TraitName_伙伴特征立竿见影,Regenerative body,กายวิเศษ
TraitName_伙伴特征谦谦君子,Modest gentleman,สุภาพบุรุษถ่อมตัว
TraitName_伙伴特征触类旁通,Analyzing,นักวิเคราะห์
TraitName_伙伴特征儒家传人,Confucius's successor,ผู้สืบทอดขงจื๊อ
TraitName_伙伴特征袖里青蛇,Hidden snake,อสรพิษซ่อน
TraitName_伙伴特征恨天不公,World hater,ผู้ชังโลก
TraitName_伙伴特征繁华楼主,Bustling House owner,เจ้าบ้านคึกคัก
TraitName_伙伴特征妙手空空2,Sleight of hand,มืออันว่องไว
TraitName_伙伴特征好事成双,Lucky,โชคดี
TraitName_伙伴特征踏雪无痕,Traceless step,ย่างก้าวไร้ร่องรอย
TraitName_伙伴特征释家传人,Qi family's successor,ผู้สืบทอดตระกูลฉี
TraitName_伙伴特征所向披靡2,Undefeated,ไร้พ่าย
TraitName_伙伴特征杀意腾腾,Killing aura,ไอสังหาร
TraitName_伙伴特征战意昂扬,Spirited,จิตวิญญาณสูง
TraitName_伙伴特征越战越勇,Battle maniac,คลั่งไคล้การต่อสู้
TraitName_伙伴特征速战速决,Blitz attack,จู่โจมสายฟ้าแลบ
TraitName_伙伴特征耍刀精通,Blade master,ปรมาจารย์ดาบ
TraitName_伙伴特征医术精研,Medical master,ปรมาจารย์แพทย์
TraitName_伙伴特征医者自医2,Self-healing doctor,หมอรักษาตน
TraitName_伙伴特征嫉恶如仇,Evil slayer,นักล่าปีศาจ
TraitName_伙伴特征战意凛然,Burning spirit,จิตวิญญาณลุกโชน
TraitName_伙伴特征剑不空回,Bloodied sword,กระบี่เปื้อนเลือด
TraitName_伙伴特征法不容情,No mercy,ไร้ปราณี
TraitName_伙伴特征志得意满,Exhilarated,เบิกบาน
TraitName_伙伴特征飞燕凌波,Swallow ascend,นางแอ่นโผบิน
TraitName_伙伴特征身轻如燕,Light body,ตัวเบา
TraitName_伙伴特征皇室贵胄2,Royal noble,ราชวงค์ชั้นสูง
TraitName_伙伴特征扬名立万,Storyteller,นักเล่านิทาน
TraitName_伙伴特征去伪存真,Verification,พิสูจน์ความจริง
TraitName_伙伴特征一目十行,Fast reader,อ่านอย่างรวดเร็ว
TraitName_伙伴特征势如破竹,Unrelenting attack,พลังล้นหลาม
TraitName_伙伴特征荒蛮狼性,Wild instinct,สัญชาตญาณสัตว์ป่า
TraitName_伙伴特征燕军元帅,Yan Army commander,ผู้บัญชาการกองทัพเยี่ยน
TraitName_伙伴特征扇里藏针,Hidden needle,เข็มลับ
TraitName_伙伴特征聚沙成塔,Power of unity,พลังแห่งความสามัคคี
TraitName_伙伴特征力破千钧,Heroic vigor,พลังวีรชน
TraitName_伙伴特征一触即发,Nerve-racking,ประสาทหงุดหงิด
TraitName_伙伴特征天煞孤星,Lone wanderer,พเนจร​เดียวดาย
TraitName_伙伴特征催心夺魄,Soul attacker,ผู้โจมตีวิญญาณ
TraitName_伙伴特征罡气护体,Protective Qi,ปราณคุ้มกาย
TraitName_伙伴特征追命阎罗,Death master,ปรมาจารย์แห่งความตาย
TraitName_伙伴特征移花接木,Spirit transfer,รับสินบน
TraitName_伙伴特征宠妹狂人,Sister complex,คลั่งรักน้องสาว
TraitName_伙伴特征生无可恋,Suicidal rage,ชีวิตไร้รัก
TraitName_伙伴特征书狂画痴,Art lover,ชื่นชมศิลปะ
TraitName_伙伴特征银钩铁画,Pen of steel,พู่กันเหล็ก
TraitName_伙伴特征画痴书狂,Book lover,หนอนหนังสือ
TraitName_伙伴特征妙笔生花,Colorful pen,เขียนราวนางฟ้า
TraitName_伙伴特征天生媚骨,Born charming,ทรงเสน่ห์แต่กำเนิด
TraitName_伙伴特征怜香惜玉,Cherish beauty,หวงแหนความงาม
TraitName_伙伴特征裙下之臣,Servant under the skirt,รับใช้ใต้กระโปรง
TraitName_伙伴特征不让须眉,Brave and fearless,กล้าหาญและไม่เกรงกลัว
TraitName_伙伴特征厚积薄发,Accumulate slowly and strike swiftly,สะสมพลังเชื่องช้าจู่โจมว่องไว
TraitName_伙伴特征血战不退,Fight to the death,สู้จนเลือดหยดสุดท้าย
TraitName_伙伴特征品萧弄笛,Play the flute,เป่าขลุ่ย
TraitName_伙伴特征风情万种,Full of charm,เสน่ห์เหลือร้าย
TraitName_伙伴特征生财有道,Know how to make money,รู้วิธีหาเงิน
TraitName_伙伴特征燕国郡主,Lady of Yan Kingdom,องค์หญิงแห่งแคว้นเยี่ยน
TraitName_伙伴特征杀伐果决,Decisive in killing,สังหารเด็ดขาด
TraitName_伙伴特征杀敌立威,Gain reputation through killing enemies,สร้างชื่อจากการสังหารศัตรู
TraitName_伙伴特征窈窕淑女,Gentle and graceful lady,สุภาพสตรีของข้า
TraitName_伙伴特征花中魁首,Leader among flowers,ผู้นำบุปผา
TraitName_伙伴特征断情绝欲,Cut off all desires,ตัดรักปรารถนา
TraitName_伙伴特征天籁妙音,Heavenly music,บทเพลงแห่งสวรรค์
TraitName_伙伴特征此恨绵绵,Endless regret,เกลียดชังไร้สิ้นสุด
TraitName_伙伴特征绝代风华,Peerless Elegance,งามไร้ผู้เปรียบ
TraitName_伙伴特征听声辩位,Identify location by sound,ใช้เสียงระบุตำแหน่ง
TraitName_伙伴特征以小博大,Achieve big with small,ใช้น้อยชนะมาก
TraitName_伙伴特征输赢天定,"Win or lose, it's fate",แพ้ชนะ ล้วนเป็นชะตากำหนด
TraitName_伙伴特征九黎之主,Lord of Jiuli,เจ้าแห่งจิ่วลี่
TraitName_伙伴特征养蛊为患,Raising gu causes trouble,พิษเจ้าปัญหา
TraitName_伙伴特征精研毒术,Deep study of Toxicology,ศึกษาศาสตร์พิษอย่างลึกซึ้ง
TraitName_伙伴特征酒酣尽兴,Enjoying the wine,เสพสุขสุรา
TraitName_伙伴特征战意盎然,Spirit is abundant,เต็มไปด้วยพลังใจ
TraitName_伙伴特征古之恶来,Evil comes from the ancient times,ปีศาจจากอดีต
TraitName_伙伴特征目盲耳聪,"Blind in sight, sharp in hearing",ดวงเนตรมืดบอด แต่มีหูปราดเปรียว
TraitName_道法自然,Way of Nature,วิถีแห่งธรรมชาติ
TraitName_气血充盈,Replenishing qi and blood,ฟื้นปราณและเลือด
TraitName_雨露均沾,Benefit equally,แบ่งปันผลประโยชน์
TraitName_财运亨通,Good fortune,โชคดี
TraitName_特邀嘉宾,Special Guest,แขกพิเศษ
TraitName_伙伴特征忍辱负重,Bear humiliations and carry burdens,อดทนต่อความอัปยศ
TraitName_伙伴特征百折不挠,Perseverance,ไม่ย่อท้อ
TraitName_伙伴特征不忘初心,Never forget the initial intention,อย่าลืมความตั้งใจเดิมของเจ้า
TraitName_伙伴特征洞悉弱点,Insight into Weakness,เข้าใจจุดอ่อน
TraitName_伙伴特征深藏不露,Hidden Potential,คมในฝัก
TraitName_伙伴特征武士精神,Warrior Spirit,จิตวิญญาณยุทธ์
TraitName_伙伴特征以攻代守,Offense as Defense,รุกคือรับ
TraitName_伙伴特征蚍蜉城主,Lord of Dragonfly City,เจ้าเมืองแมลงปอ
TraitName_伙伴特征以战养战,War Nurtures War,เลี้ยงชีพด้วยสงคราม
TraitName_伙伴特征形如鬼魅,Ghostly Figure,ร่างวิญญาณ
TraitName_伙伴特征不择手段,Unscrupulous,สามหาว
TraitName_伙伴特征斩草除根,Root Out,ถอนรากถอนโคน
TraitName_伙伴特征好战嗜杀,Warlike and Bloodthirsty,กระหายสงคราม
TraitName_伙伴特征玉手芊芊,Delicate Jade Hand,ฝ่ามือมรกต
TraitName_伙伴特征摇曳多姿,Swaying Gracefully,เคลื่อนหลบสง่างาม
TraitName_伙伴特征咫尺天涯,"So Close, Yet Worlds Apart",ใกล้กันเท่าโลกห่าง
TraitName_伙伴特征老谋深算,Strategic Mastermind,บัญชากลยุทธ์
TraitName_伙伴特征一步一计,Calculated Moves,คำนวณความเคลื่อนไหว
TraitName_伙伴特征算无遗策,Precision Tactics,กลยุทธ์ที่แม่นยำ
TraitName_伙伴特征见机行事,Seize the Opportunity,คว้าโอกาส
TraitName_伙伴特征雷厉风行,Swift as Lightning,รวดเร็วดุจสายฟ้า
TraitName_伙伴特征奋勇向前,Brave Charge,ก้าวย่างอย่างกล้าหาญ
TraitName_伙伴特征威震一方,Preeminent,โดดเด่น
TraitName_伙伴特征战意汹涌,Boisterous Spirit,จิตวิญญาณพุ่งพล่าน
TraitName_伙伴特征驱使百兽,Beast Controller,ควบคุมสัตว์ร้าย
TraitName_伙伴特征白狐为伴,White Fox Comrade,สหายจิ้งจอกขาว
TraitName_伙伴特征随遇而安,Well Adapted,ปรับตัวได้ดี
TraitName_伙伴特征外柔内刚,Iron Fist Velvet Glove,อ่อนนอกแข็งใน
TraitName_伙伴特征心高志远,Ambitious,จิตใจทะเยอทะยาน
TraitName_伙伴特征仗剑游行,Wandering Swordman,มือกระบี่พเนจร
TraitName_伙伴特征少年傲气,Adolescent Pride,ความภาคภูมิของหนุ่มสาว
TraitName_伙伴特征动物亲和,Animal Friendly,เป็นมิตรกับสัตว์
TraitName_伙伴特征神鹰大侠,The Divine Hawk Hero,วีรบุรษอินทรีศักดิ์สิทธิ์
TraitName_伙伴特征唯我独尊,Supreme Dominance,อำนาจสูงสุด
TraitName_伙伴特征罡气贯体,Harden Qi Protection,ปราณกระแทก
TraitName_伙伴特征圣火护体,Divine Flame Protection,เปลวไฟศักดิ์สิทธิ์คุ้มกาย
TraitName_伙伴特征烈阳之威,Sun Power,พลังสุริยัน
TraitName_伙伴特征来去如风,Wind Step,ประดุจสายลม
TraitName_伙伴特征遇强则强,Power Against Power,พลังต้านพลัง
TraitName_伙伴特征一剑飞血,Blood In One Strike,เลือดในการโจมตีเดียว
TraitName_伙伴特征百炼成钢,Spirit of Steel,จิตวิญญาณเหล็กกล้า
TraitName_伙伴特征铜头铁脑,Iron Head,หัวเหล็ก
TraitName_伙伴特征众星捧月,Popular,กว้างขวาง
TraitName_伙伴特征凌波微步,Wave Riding Step,ทะยานคลื่น
TraitName_伙伴特征动无常则,Irregular Movement,เคลื่อนไหวไร้กฎเกณฑ์
TraitName_伙伴特征凶神之名,Infamy,ชื่อเทพมารร้าย
TraitName_伙伴特征杀一儆百,Make An Example,สังหารหนึ่งเตือนร้อย
TraitName_伙伴特征无间修罗,Unbroken Shura,อสุราไร้สิ้นสุด
TraitName_伙伴特征大漠雄主,King of Desert,ราชาทะเลทราย
TraitName_伙伴特征一刀断念,Forsaken Blade,ละทิ้งดาบ
TraitName_伙伴特征刀意纵横,Blade Qi Explode,เจตดาบปะทุ
TraitName_伙伴特征隐而不发,Biding Time,ถ่วงเวลา
TraitName_伙伴特征火蟾之毒,Flame Toad Venom,พิษคางคกอัคคี
TraitName_伙伴特征肌肤异变,Skin Mutation,แปรเปลี่ยนผิวหนัง
TraitName_伙伴特征步步为先,Always Ahead,นำหน้าเสมอ
TraitName_伙伴特征无妄之灾,Collateral Damage,ภัยไม่คาดคิด
TraitName_伙伴特征落袋为安,Secure Profits,ประกันกำไร
TraitName_伙伴特征何妨一醉,Drunken Ignorance,เมาไม่รู้ลืม
TraitName_伙伴特征八面玲珑,Smooth Operator,ปฏิบัติราบรื่น
TraitName_伙伴特征出人意料,Unexpected,ไม่นึกไม่ฝัน
